channelGrouping;date;fullVisitorId;visitNumber;visitStartTime;browser;operatingSystem;isMobile;deviceCategory;metro;city;campaign;source;medium;hits;pageviews;bounces;newVisits;transactionRevenue;year;month;quarterMonth;day;weekday;hour
Direct;2016-09-21;2245825143806185917;9;2024-03-09 22:35:00;Chrome;Macintosh;False;desktop;New York NY;New York;(not set);(direct);(none);28;21;False;False;58.38;2016;9;3;21;2;22
Referral;2017-01-19;134817585377058947;4;2024-03-09 21:11:00;Chrome;Macintosh;False;desktop;San Francisco-Oakland-San Jose CA;San Francisco;(not set);mall.googleplex.com;referral;31;23;False;False;145.45;2017;1;1;19;3;21
Referral;2017-05-26;7884800380653018929;3;2024-03-09 19:47:00;Chrome;Chrome OS;False;desktop;New York NY;New York;(not set);mall.googleplex.com;referral;35;29;False;False;112.05;2017;5;2;26;4;19
Organic Search;2016-08-08;8917539256990829389;1;2024-03-09 01:36:00;Chrome;Macintosh;False;desktop;New York NY;New York;(not set);google;organic;59;48;False;True;83.96;2016;8;3;8;0;1
Organic Search;2017-07-10;5812572929202367937;1;2024-03-09 18:53:00;Chrome;Macintosh;False;desktop;Boston MA-Manchester NH;Cambridge;(not set);google;organic;24;18;False;True;151.8;2017;7;3;10;0;18
Direct;2017-07-18;9654758935896158776;1;2024-03-09 21:51:00;Chrome;Macintosh;False;desktop;New York NY;New York;(not set);(direct);(none);17;15;False;True;95.8;2017;7;3;18;1;21
Referral;2017-01-03;29131400687020410;4;2024-03-09 19:14:00;Chrome;Macintosh;False;desktop;New York NY;New York;(not set);mall.googleplex.com;referral;29;21;False;False;134.32;2017;1;1;3;1;19
Direct;2017-01-03;1591673974231051081;2;2024-03-09 23:57:00;Chrome;Macintosh;False;desktop;not available in demo dataset;not available in demo dataset;(not set);(direct);(none);62;50;False;False;243.16;2017;1;1;3;1;23
Direct;2017-03-22;689078233091142252;8;2024-03-09 20:52:00;Chrome;Macintosh;False;desktop;Austin TX;Austin;(not set);(direct);(none);71;59;False;False;293.53;2017;3;1;22;2;20
Organic Search;2016-12-14;68437640696494161;1;2024-03-09 17:41:00;Chrome;Macintosh;False;desktop;(not set);Toronto;(not set);google;organic;148;105;False;True;197.7;2016;12;4;14;2;17
Referral;2017-04-18;9426148810376053164;1;2024-03-09 06:22:00;Chrome;Macintosh;False;desktop;not available in demo dataset;not available in demo dataset;(not set);mall.googleplex.com;referral;45;33;False;True;23.96;2017;4;2;18;1;6
Organic Search;2017-01-01;8722134795757149550;1;2024-03-09 02:49:00;Chrome;Macintosh;False;desktop;not available in demo dataset;not available in demo dataset;(not set);google;organic;25;25;False;True;55.99;2017;1;1;1;6;2
Organic Search;2017-03-02;2282347297061009421;3;2024-03-09 22:47:00;Chrome;Android;True;mobile;San Francisco-Oakland-San Jose CA;San Francisco;(not set);google;organic;23;21;False;False;49.99;2017;3;1;2;3;22
Organic Search;2017-06-02;7256651340144904184;2;2024-03-09 17:56:00;Chrome;Macintosh;False;desktop;San Diego CA;San Diego;(not set);google;organic;25;22;False;False;53.97;2017;6;2;2;4;17
Referral;2017-05-27;9890182105631590481;5;2024-03-09 18:15:00;Chrome;Chrome OS;False;desktop;Atlanta GA;Atlanta;(not set);mall.googleplex.com;referral;43;28;False;False;267.2;2017;5;2;27;5;18
Organic Search;2017-06-28;582129409932854437;1;2024-03-09 01:47:00;Chrome;Windows;False;desktop;New York NY;New York;(not set);google;organic;29;26;False;True;18.99;2017;6;2;28;2;1
Organic Search;2016-09-25;634809971349181384;2;2024-03-09 17:01:00;Chrome;Android;True;mobile;Chicago IL;Chicago;(not set);google;organic;29;23;False;False;17.98;2016;9;3;25;6;17
Direct;2016-09-25;6928928150843401666;2;2024-03-09 13:44:00;Chrome;Windows;False;desktop;not available in demo dataset;not available in demo dataset;(not set);(direct);(none);88;61;False;False;8.48;2016;9;3;25;6;13
Organic Search;2016-10-04;612931240198528311;1;2024-03-09 21:34:00;Chrome;Macintosh;False;desktop;Charlotte NC;Charlotte;(not set);google;organic;30;26;False;True;55.99;2016;10;4;4;1;21
Organic Search;2017-04-07;8442346211640991096;2;2024-03-09 20:29:00;Chrome;Macintosh;False;desktop;not available in demo dataset;not available in demo dataset;(not set);google;organic;21;18;False;False;16.99;2017;4;2;7;4;20
Referral;2017-07-15;9890182105631590481;9;2024-03-09 21:54:00;Chrome;Chrome OS;False;desktop;Atlanta GA;Atlanta;(not set);mall.googleplex.com;referral;29;21;False;False;62.05;2017;7;3;15;5;21
Referral;2016-09-20;2526542957776125951;2;2024-03-09 14:37:00;Chrome;Macintosh;False;desktop;New York NY;New York;(not set);mall.googleplex.com;referral;11;9;False;False;269.55;2016;9;3;20;1;14
Organic Search;2016-12-31;1323672990415209613;1;2024-03-09 16:14:00;Chrome;Macintosh;False;desktop;not available in demo dataset;not available in demo dataset;(not set);google;organic;18;17;False;True;7.99;2016;12;4;31;5;16
Referral;2017-06-29;8282958596112476816;3;2024-03-09 19:34:00;Chrome;Macintosh;False;desktop;Boston MA-Manchester NH;Cambridge;(not set);mall.googleplex.com;referral;17;13;False;False;27.19;2017;6;2;29;3;19
Paid Search;2017-06-25;3741407379008310018;1;2024-03-09 22:16:00;Chrome;Windows;False;desktop;not available in demo dataset;not available in demo dataset;AW - Dynamic Search Ads Whole Site;google;cpc;16;16;False;True;66.96;2017;6;2;25;6;22
Organic Search;2016-09-08;6671011279040141651;1;2024-03-09 01:19:00;Safari;iOS;True;mobile;Seattle-Tacoma WA;Seattle;(not set);google;organic;43;35;False;True;31.49;2016;9;3;8;3;1
Organic Search;2016-12-29;8793209921547478119;5;2024-03-09 21:08:00;Chrome;Android;True;mobile;not available in demo dataset;not available in demo dataset;(not set);google;organic;14;14;False;False;89.99;2016;12;4;29;3;21
Organic Search;2016-12-29;4402743200656460463;2;2024-03-09 01:03:00;Safari;iOS;True;mobile;not available in demo dataset;not available in demo dataset;(not set);google;organic;29;23;False;False;23.97;2016;12;4;29;3;1
Direct;2016-12-29;5810770256591004737;2;2024-03-09 21:44:00;Chrome;Macintosh;False;desktop;Los Angeles CA;Los Angeles;(not set);(direct);(none);79;65;False;False;192.87;2016;12;4;29;3;21
Direct;2016-12-29;8417202623298662742;1;2024-03-09 01:38:00;Chrome;Macintosh;False;desktop;not available in demo dataset;not available in demo dataset;(not set);(direct);(none);83;62;False;True;27.18;2016;12;4;29;3;1
Direct;2017-04-09;9160012321913348805;1;2024-03-09 00:40:00;Chrome;Macintosh;False;desktop;not available in demo dataset;not available in demo dataset;(not set);(direct);(none);16;12;False;True;144.97;2017;4;2;9;6;0
Referral;2017-03-24;5224582846346969715;5;2024-03-09 16:34:00;Chrome;Macintosh;False;desktop;New York NY;New York;(not set);mall.googleplex.com;referral;20;18;False;False;19.19;2017;3;1;24;4;16
Organic Search;2017-05-31;5713958052491086700;4;2024-03-09 21:00:00;Chrome;Macintosh;False;desktop;Austin TX;Austin;(not set);google;organic;38;27;False;False;489.2;2017;5;2;31;2;21
Organic Search;2017-07-09;4143932736586919766;6;2024-03-09 00:13:00;Chrome;Macintosh;False;desktop;San Francisco-Oakland-San Jose CA;Sunnyvale;(not set);google;organic;33;23;False;False;23.95;2017;7;3;9;6;0
Organic Search;2017-07-09;4143932736586919766;5;2024-03-09 23:09:00;Chrome;Macintosh;False;desktop;San Francisco-Oakland-San Jose CA;Sunnyvale;(not set);google;organic;40;25;False;False;25.24;2017;7;3;9;6;23
